loadcase,configuration,nx,ny,nz,case description,exclude nodes
100245,FF,0.019043068,0,4.5,FF 1,"""46270, 90000013"""
100490,FF,0.003389594,0,-3,FF 2,"""46270, 90000013"""
200023,FF,-0.011143605,0,1,FF 3,"""46270, 90000013"""
200245,FF,0.01575472,0,4.5,FF 4,"""46270, 90000013"""
200420,FF,0.002058201,0,4.460931331,FF 5,"""46270, 90000013"""
400249,FF,0.013302982,0,-3,FF 6,
500038,FF,-0.008900661,0,-3,FF 7,
500040,FF,-0.007358161,0,-3,FF 8,
500042,FF,-0.010024806,0,-3,FF 9,
500049,FF,-0.003701903,0,-3,FF 10,
500190,FF,0.007434074,0,-3,FF 11,
500245,FF,0.012446744,0,4.5,FF 12,
500249,FF,0.012943896,0,-3,FF 13,
500345,FF,0.007686232,0,4.5,FF 14,
500352,FF,-0.000284972,0,-3,FF 15,
500390,FF,0.004311303,0,-3,FF 16,
506271,FF,0.003544646,0,-2.957051873,FF 17,
507173,FF,-0.006956693,-0.509003149,1,FF 18,
507174,FF,-0.006271076,0.667467269,1,FF 19,
507529,FF,0.003056213,-0.461408254,1,FF 20,
10110002,CC,0,0,-4.433333333,CC Navajo 1,"""46270, 90000013"""
10110008,CC,0,0,-4.433333333,CC Navajo 2,"""46270, 90000013"""
10110013,CC,3,0,0,CC Navajo 3,"""46270, 90000013"""
10120002,CC,0,0,-4.433333333,CC Navajo 4,
10120008,CC,0,0,-4.433333333,CC Navajo 5,
10130002,CC,0,0,-4.433333333,CC Navajo 6,
10130008,CC,0,0,-4.433333333,CC Navajo 7,
10140002,CC,0,0,-4.433333333,CC Navajo 8,"""46270, 90000013"""
10140008,CC,0,0,-4.433333333,CC Navajo 9,"""46270, 90000013"""
11012026,CC,1.5,-1.6,-9,CC F16 1,
11012177,CC,-1.5,1.7,-9,CC F16 2,
11013972,CC,-1.5,1.7,-9,CC F16 3,
11014019,CC,-1.5,-1.7,-9,CC F16 4,
11014030,CC,1.5,-1.7,-9,CC F16 5,
11016024,CC,-1.5,4.1,-6.3,CC F16 6,
11016029,CC,1.5,4.1,-6.3,CC F16 7,
11016035,CC,-1.5,-4.1,-6.3,CC F16 8,
11016067,CC,-1.5,-4.1,-6.3,CC F16 9,
11016074,CC,1.5,-4.1,-6.3,CC F16 10,
11016094,CC,1.5,4.1,-6.3,CC F16 11,
11016123,CC,1.5,4.1,-6.3,CC F16 12,
11016137,CC,1.5,-4.1,-6.3,CC F16 13,
11016338,CC,-1.5,4.1,1,CC F16 14,
11016388,CC,-1.5,-4.1,1,CC F16 15,
11016397,CC,1.5,-4.1,1,CC F16 16,
11023255,CC,-1.5,0.3,6,CC F16 17,
11023262,CC,1.5,0.3,6,CC F16 18,
11023348,CC,-1.5,-0.3,6,CC F16 19,
11024117,CC,-1.5,-0.3,6,CC F16 20,
11025338,CC,1.5,-0.3,-4.9,CC F16 21,
11026355,CC,-1.5,0.3,-4.9,CC F16 22,
11032274,CC,-1.5,2.2,-1,CC F16 23,
11032285,CC,1.5,2.2,-1,CC F16 24,
11032315,CC,1.5,2.2,-1,CC F16 25,
11032330,CC,1.5,-2.2,-1,CC F16 26,
11032331,CC,1.5,-2.2,-1,CC F16 27,
11032471,CC,-1.5,2.2,-1,CC F16 28,
11032486,CC,-1.5,-2.2,-1,CC F16 29,
11032510,CC,1.5,2.2,-1,CC F16 30,
11032516,CC,-1.5,-2.2,-1,CC F16 31,
14010019,CC,4,-1,1,CC F16 32,
