Node ID,mass,x,y,z,label
90000001,100.5698,0.75,106.8616,-0.0035,mass1
90000002,98.1863,1.894,106.6401,-0.0001,mass2
90000003,98.3088,6.75,110.5975,0,mass3
90000004,98.8134,1.41,112.6517,0.524,mass4
90000005,101.3162,4.985,116.9896,0,mass5
90000006,102.8774,3.501,116.9381,0,mass6
90000007,103.7429,1.215,122.5426,-0.0019,mass7
90000008,98.9269,5.46,119.6769,-1.4632,mass8
90000009,96.4708,2.706,118.5816,0.4032,mass9
90000010,99.1102,2.25,119.2461,2.6054,mass10
90000011,100.0007,6.84,125.9435,0.0012,mass11
90000012,100.8245,0.752,133.8962,0,mass12
90000013,99.0997,2.042,133.7962,0,mass13
90000014,96.5272,4.5,137.249,1.0537,mass14
90000015,100.689,37.473,180.18,0.5,mass15
90000016,100.5714,5.04,170.6301,3.2996,mass16
90000017,97.5664,2.25,171.6335,-0.4766,mass17
90000018,103.353,2.475,169.3105,-0.4919,mass18
90000019,100.2604,5.85,186.3051,0.1756,mass19
