component,configuration,label,section_id,sta_dir,lat_dir,sta_start,sta_end,cen_x,cen_y,cen_z
vehicle,ALL,Nosecone,1,X,Y,100.745,103.97,102.3575,0,100
vehicle,ALL,Fwd Body 1,2,X,Y,103.97,113.97,108.97,0,100
vehicle,ALL,Fwd Body 2,3,X,Y,113.97,123.97,118.97,0,100
vehicle,ALL,Mid Body 1,4,X,Y,123.97,133.97,128.97,0,100
vehicle,ALL,Mid Body 2,5,X,Y,133.97,143.97,138.97,0,100
vehicle,ALL,Mid Body 3,6,X,Y,143.97,153.97,148.97,0,100
vehicle,ALL,Mid Body 4,7,X,Y,153.97,163.97,158.97,0,100
vehicle,ALL,Aft Body 1,8,X,Y,163.97,173.97,168.97,0,100
vehicle,ALL,Aft Body 2,9,X,Y,173.97,183.97,178.97,0,100
vehicle,ALL,Aft Body 3,10,X,Y,183.97,195,189.485,0,100
fuselage,ALL,Nosecone,30000001,X,Y,100.745,103.97,102.3575,0,100
fuselage,ALL,Fwd Body 1,30000002,X,Y,103.97,113.97,108.97,0,100
fuselage,ALL,Fwd Body 2,30000003,X,Y,113.97,123.97,118.97,0,100
fuselage,ALL,Mid Body 1,30000004,X,Y,123.97,133.97,128.97,0,100
fuselage,ALL,Mid Body 2,30000005,X,Y,133.97,143.97,138.97,0,100
fuselage,ALL,Mid Body 3,30000006,X,Y,143.97,153.97,148.97,0,100
fuselage,ALL,Mid Body 4,30000007,X,Y,153.97,163.97,158.97,0,100
fuselage,ALL,Aft Body 1,30000008,X,Y,163.97,173.97,168.97,0,100
fuselage,ALL,Aft Body 2,30000009,X,Y,173.97,183.97,178.97,0,100
fuselage,ALL,Aft Body 3,30000010,X,Y,183.97,190,186.985,0,100
wing lh,CC,LH Wing 1,40000001,X,Y,143,147.1943,146.164,-3.6555,96
wing lh,CC,LH Wing 2,40000002,X,Y,147.1943,153.1757,150.1847,-4.0157,96
wing lh,CC,LH Wing 3,40000003,X,Y,153.1757,159.1575,156.1667,-4.5384,96
wing lh,CC,LH Wing 4,40000004,X,Y,159.1575,165.1389,162.1482,-5.0619,96
wing lh,CC,LH Wing 5,40000005,X,Y,165.1389,171.1204,168.1297,-5.5854,96
wing lh,CC,LH Wing 6,40000006,X,Y,171.1204,178,174.1111,-6.1089,96
wing rh,CC,RH Wing 1,50000001,X,Y,143,147.1943,146.164,3.6555,96
wing rh,CC,RH Wing 2,50000002,X,Y,147.1943,153.1757,150.1847,4.0157,96
wing rh,CC,RH Wing 3,50000003,X,Y,153.1757,159.1575,156.1667,4.5384,96
wing rh,CC,RH Wing 4,50000004,X,Y,159.1575,165.1389,162.1482,5.0619,96
wing rh,CC,RH Wing 5,50000005,X,Y,165.1389,171.1204,168.1297,5.5854,96
wing rh,CC,RH Wing 6,50000006,X,Y,171.1204,178,174.1111,6.1089,96
wing lh,FF,LH Wing 1,40000001,Y,Z,-9.2,-4,144.4628333,-5.716,96
wing lh,FF,LH Wing 2,40000002,Y,Z,-14.4,-9.2,146.4743592,-9.2,96
wing lh,FF,LH Wing 3,40000003,Y,Z,-19.6,-14.4,149.4766368,-14.4,96
wing lh,FF,LH Wing 4,40000004,Y,Z,-24.8,-19.6,152.4789144,-19.6,96
wing lh,FF,LH Wing 5,40000005,Y,Z,-30,-24.8,155.4811919,-24.8,96
wing lh,FF,LH Wing 6,40000006,Y,Z,-33,-30,158.4834695,-30,96
wing rh,FF,RH Wing 1,50000001,Y,Z,4,9.2,144.4628333,5.716,96
wing rh,FF,RH Wing 2,50000002,Y,Z,9.2,14.4,146.4743592,9.2,96
wing rh,FF,RH Wing 3,50000003,Y,Z,14.4,19.6,149.4766368,14.4,96
wing rh,FF,RH Wing 4,50000004,Y,Z,19.6,24.8,152.4789144,19.6,96
wing rh,FF,RH Wing 5,50000005,Y,Z,24.8,30,155.4811919,24.8,96
wing rh,FF,RH Wing 6,50000006,Y,Z,30,33,158.4834695,30,96
tail lower,ALL,Fin Lower 1,60000001,Z,X,94.6625,96.3,183.4868063,0,96.3
tail lower,ALL,Fin Lower 2,60000002,Z,X,93.025,94.6625,184.4322155,0,94.6625
tail lower,ALL,Fin Lower 3,60000003,Z,X,91.3875,93.025,185.3776247,0,93.025
tail lower,ALL,Fin Lower 4,60000004,Z,X,89.75,91.3875,186.644473,0,90.83075
tail lh,ALL,Fin LH 1,70000001,Y,Z,-7.2,-3.2,183.3349327,-4.56,103.30627
tail lh,ALL,Fin LH 2,70000002,Y,Z,-9.633333333,-7.2,185.3389688,-8.027333333,104.7085793
tail lh,ALL,Fin LH 3,70000003,Y,Z,-12.06666667,-9.633333333,186.7453776,-10.46066667,105.6927033
tail lh,ALL,Fin LH 4,70000004,Y,Z,-14.5,-12.06666667,188.1517863,-12.894,106.6768274
tail rh,ALL,Fin RH 1,80000001,Y,Z,3.2,7.2,183.3349327,4.56,103.30627
tail rh,ALL,Fin RH 2,80000002,Y,Z,7.2,9.633333333,185.3389688,8.027333333,104.7085793
tail rh,ALL,Fin RH 3,80000003,Y,Z,9.633333333,12.06666667,186.7453776,10.46066667,105.6927033
tail rh,ALL,Fin RH 4,80000004,Y,Z,12.06666667,14.5,188.1517863,12.894,106.6768274
