loadcase,node_id,label,mass,x,y,z,fx,fy,fz
LC100245,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00247559884,-0.0,-0.585
LC100245,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.5239948596065128,-0.0,-123.82337070000001
LC100245,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00057129204,-0.0,-0.135
LC100245,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.06848591494019242,-0.0,-16.1836641675
LC100245,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.055800939438097254,-0.0,-13.1861225025
LC100245,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.07515542990738218,-0.0,-17.759713644
LC100245,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.00304689088,-0.0,-0.72
LC100245,90000008,AFT midbody fittings,0.705346997,163.1651033,3.681086446,97.71591909,-0.013431970827466796,-0.0,-3.1740614865000003
LC100245,90000009,FWD midbody antennas and components (top skin),2.077807158,136.0348076,-0.029214728,103.8796743,-0.03956782300068075,-0.0,-9.350132211
LC100245,90000010,AFT midbody components (top skin),0.46,155.0525861,-1.219635626,104.0709847,-0.00875981128,-0.0,-2.0700000000000003
LC100245,90000011,AFT avionics,7.417164744,170.2919744,1.042492177,100.9856475,-0.14124557258719458,-0.0,-33.377241348
LC100245,90000012,Engine,21.7,180.167568,0.050604837,100.3439833,-0.4132345756,-0.0,-97.64999999999999
LC100245,90000014,"AFT hardware (actuators, etc.)",5.591094522,187.2061025,0.026525865,100.375461,-0.10647159317687349,-0.0,-25.159925348999998
LC100490,90000001,Nose boom,0.13,100.3807505,8.62365e-05,99.75967368,-0.00044064722000000005,-0.0,0.39
LC100490,90000002,FWD avionics,27.5163046,117.1525436,0.038859881,99.68577371,-0.09326910097433241,-0.0,82.54891380000001
LC100490,90000003,FWD BTM antenna,0.03,125.0804,2.2734,95.0277,-0.00010168782,-0.0,0.09
LC100490,90000004,FWD bulkhead avionics,3.596369815,126.7948283,-0.354759157,99.01272995,-0.01219023354670511,-0.0,10.789109445000001
LC100490,90000005,FTS BAY,2.930249445,133.9296552,-0.446408578,100.1072777,-0.00993235593727533,-0.0,8.790748335
LC100490,90000006,Bottom Electronics and Antenna,3.946603032,135.677227,0.108746362,96.40403311,-0.01337738195764901,-0.0,11.839809096
LC100490,90000007,HF Antenna,0.16,152.6426,0.5084,95.72,-0.0005423350400000001,-0.0,0.48
