loadcase,partition,level,component,section_id,label,sta_lo,sta_hi,n_nodes,Fx,Fy,Fz,Mx,My,Mz
LC100245,component,section,fuselage,30000001,Nosecone,100.745,103.97,2123,22.566601858200016,1.2282471169999987,-14.7548144688,1.372928348240333,-644.4240038561007,-53.06738178219153
LC100245,component,section,fuselage,30000002,Fwd Body 1,103.97,113.97,7197,-4.538364642000005,-6.188290160000065,-25.774805335999996,-1.1322902761436278,-991.0704536406267,237.89888989728323
LC100245,component,section,fuselage,30000003,Fwd Body 2,113.97,123.97,6377,-16.595901521990008,3.005666115800011,-55.063200134900015,-0.7829855201052208,-1611.1742709972682,-93.13294554246346
LC100245,component,section,fuselage,30000004,Mid Body 1,123.97,133.97,15185,-0.18272308324199948,-1.2738995419,-50.591907148599994,-16.67172958400008,-1042.103148245607,30.88385763069072
LC100245,component,section,fuselage,30000005,Mid Body 2,133.97,143.97,16327,-0.17290308415239997,-0.8622129012999995,-39.6977495277,-10.649309820294636,-407.0360414327663,6.19234604511818
LC100245,component,section,fuselage,30000006,Mid Body 3,143.97,153.97,10529,-0.9584066992400001,-0.42313012629999847,-34.1758525477,-13.422123950750645,-83.45174954207887,1.4558175932422166
LC100245,component,section,fuselage,30000007,Mid Body 4,153.97,163.97,11989,-0.49179726078100006,-0.023723677200000237,-34.531579703748,-11.483068593688126,389.8404779714565,0.026725524448102722
LC100245,component,section,fuselage,30000008,Aft Body 1,163.97,173.97,6734,-0.040836827643999984,-0.0976577870000046,-53.598641545,-15.265905554090192,1024.215611688067,-2.470753318122193
LC100245,component,section,fuselage,30000009,Aft Body 2,173.97,183.97,3386,10.433923607699999,-0.19735495389999613,-42.701456623000006,7.973453599424917,1270.0231570181759,-10.369480316163779
LC100245,component,section,fuselage,30000010,Aft Body 3,183.97,190.0,2498,-8.393388247919999,2.835610227600002,-36.459199430999995,-2.835763263077223,1405.0463416189448,102.60429593349897
LC100245,component,component subtotal,fuselage,,fuselage total,,,82345,1.6262040989306037,-1.996745687200053,-387.34920646644804,-62.896794614484506,-690.1340794178034,220.02137166534047
LC100245,component,section,tail lh,70000004,Fin LH 4,-14.5,-12.06666667,286,-0.007472909,-0.35739875099999996,-2.8409246,39.154276218716,112.681080686477,-13.962693096599999
LC100245,component,section,tail lh,70000003,Fin LH 3,-12.06666667,-9.633333333,492,-0.013087617,-0.4531900351,-4.5448293,51.7706341953021,178.461293698828,-17.264588695889405
LC100245,component,section,tail lh,70000002,Fin LH 2,-9.633333333,-7.2,486,-0.014038468000000002,-0.4412168222,-4.7484855,41.932877868039,179.89598616382898,-16.202715167719703
LC100245,component,section,tail lh,70000001,Fin LH 1,-7.2,-3.2,766,-0.024335536999999997,-0.6226670971000001,-7.8495083,44.3389493231126,285.16403752363397,-21.869208187621304
LC100245,component,component subtotal,tail lh,,tail lh total,,,2030,-0.058934531,-1.8744727054,-19.983747700000002,177.19673760516972,756.202398072768,-69.2992051478304
LC100245,component,section,tail lower,60000004,Fin Lower 4,89.75,91.3875,289,-0.004824951000000001,1.905614915,-1.2621553,17.997831903315,50.230939296266,70.027308813153
LC100245,component,section,tail lower,60000003,Fin Lower 3,91.3875,93.025,283,-0.005640117,2.1553592769999996,-1.4696034999999998,16.761305746084,56.505708341961,78.05594161779
LC100245,component,section,tail lower,60000002,Fin Lower 2,93.025,94.6625,302,-0.008221892,2.332692895,-2.1362838,14.309599249449999,80.070179044311,82.753505790677
LC100245,component,section,tail lower,60000001,Fin Lower 1,94.6625,96.3,289,-0.009697128999999999,2.166835096,-2.5130551999999997,9.858464083738,91.93876813111899,75.36855252694399
LC100245,component,component subtotal,tail lower,,tail lower total,,,1163,-0.028384089,8.560502182999999,-7.381097799999999,58.927200982586996,278.745594813657,306.205308748564
LC100245,component,section,tail rh,80000001,Fin RH 1,3.2,7.2,778,-0.024658823,-1.6110821734999998,-2.40330626,-6.3778703432500015,96.94091289649701,-55.439089135752596
LC100245,component,section,tail rh,80000002,Fin RH 2,7.2,9.633333333,477,-0.013861199,-1.0781653332999999,-0.9401422940000002,-2.917074492922502,42.260253772148005,-38.74072590915559
LC100245,component,section,tail rh,80000003,Fin RH 3,9.633333333,12.06666667,488,-0.013204677000000001,-1.138143737,-0.638182508,-0.6010280967959997,32.05948048810999,-42.328334175325004
LC100245,component,section,tail rh,80000004,Fin RH 4,12.06666667,14.5,272,-0.007215405,-0.8586856191000001,0.2360526225,9.154534260293,-6.302447279294,-33.0693493545786
LC100245,component,component subtotal,tail rh,,tail rh total,,,2015,-0.058940104,-4.6860768629,-3.7455784395,-0.7414386726755033,164.958199877461,-169.5774985748118
LC100245,component,section,wing lh,40000006,LH Wing 6,-33.0,-30.0,1547,0.34205333410000005,0.1584930183,35.20821581999999,-1108.3229991842234,-349.31752840219104,13.329095548224
LC100245,component,section,wing lh,40000005,LH Wing 5,-30.0,-24.8,1700,-0.5169900591,-0.273861977,56.55168325,-1566.9617674093313,-440.48753083077804,-16.226709703349893
LC100245,component,section,wing lh,40000004,LH Wing 4,-24.8,-19.6,992,-0.1447158053,-0.07849522009999998,54.423924008,-1209.836415813931,-272.6160715789874,-2.6722653494336988
LC100245,component,section,wing lh,40000003,LH Wing 3,-19.6,-14.4,884,-0.07974592150000002,-0.028476516999999986,61.24158853,-1032.1472316630761,-118.37841955482052,-0.6412385227055011
LC100245,component,section,wing lh,40000002,LH Wing 2,-14.4,-9.2,1003,0.142099816,0.09638924,75.5667925,-892.3062970349499,69.14927558107995,2.800860806379001
LC100245,component,section,wing lh,40000001,LH Wing 1,-9.2,-4.0,934,0.14422654810000002,0.1259513897,75.9214468,-499.3442434096202,306.32466396144775,1.6992676344443987
LC100245,component,component subtotal,wing lh,,wing lh total,,,7060,-0.11307208769999993,-6.60999999180234e-08,358.913650908,-6308.918954515132,-805.3256108242492,-1.7109895864416949
LC100245,component,section,wing rh,50000001,RH Wing 1,4.0,9.2,934,0.13759343420000006,-0.12305141009999997,73.3515877,482.6084463443423,296.99076250390675,-1.6704566059928987
LC100245,component,section,wing rh,50000002,RH Wing 2,9.2,14.4,1003,0.14299205599999998,-0.09595185000000002,74.3612184,878.67930750659,68.54119823764506,-2.8151166977929982
LC100245,component,section,wing rh,50000003,RH Wing 3,14.4,19.6,884,-0.07488167299999997,0.026960864,60.63182693,1021.8551013770418,-116.99579885178474,0.5529064603285994
LC100245,component,section,wing rh,50000004,RH Wing 4,19.6,24.8,992,-0.1378091467,0.07455110639999998,53.959864924,1199.5873678571531,-270.30340176147394,2.4912152030537
LC100245,component,section,wing rh,50000005,RH Wing 5,24.8,30.0,1737,-0.48116989879999994,0.2576021933,56.988605649,1579.431229715566,-446.1940944060336,14.970634333873399
LC100245,component,section,wing rh,50000006,RH Wing 6,30.0,33.0,1606,0.3003986124,-0.1401108365,34.678852649999996,1090.285945985185,-344.71444454131904,-11.821752030319496
LC100245,component,component subtotal,wing rh,,wing rh total,,,7156,-0.11287661589999992,6.710000000076377e-08,353.97195625300003,6252.447398785878,-812.6757788190596,1.707430663150305
LC100245,component,point masses,,,applied separately,,,19,-36.12879425562,0.0,-8537.4675,-1150845.319370565,-1224299.5486938283,4870.139038723419
LC100245,component,TOTAL,,,sections + point masses,,,101769,-34.8747975842894,0.0032069284999463044,-8243.041523244949,-1150729.3052209937,-1225407.7779701254,5157.485456491389
LC100245,span,section,vehicle,1,Nosecone,100.745,103.97,2123,22.566601858200016,1.2282471169999987,-14.7548144688,1.372928348240333,-644.4240038561007,-53.06738178219153
LC100245,span,section,vehicle,2,Fwd Body 1,103.97,113.97,7197,-4.538364642000005,-6.188290160000065,-25.774805335999996,-1.1322902761436278,-991.0704536406267,237.89888989728323
LC100245,span,section,vehicle,3,Fwd Body 2,113.97,123.97,6377,-16.595901521990008,3.005666115800011,-55.063200134900015,-0.7829855201052208,-1611.1742709972682,-93.13294554246346
LC100245,span,section,vehicle,4,Mid Body 1,123.97,133.97,15185,-0.18272308324199948,-1.2738995419,-50.591907148599994,-16.67172958400008,-1042.103148245607,30.88385763069072
LC100245,span,section,vehicle,5,Mid Body 2,133.97,143.97,16803,-0.08281442315239995,-0.8608615972999978,7.724278472300007,-16.02094365703181,-120.87614202971317,6.20316674235516
LC100245,span,section,vehicle,6,Mid Body 3,143.97,153.97,15877,-2.0355920702400003,-0.42323995869999287,388.6495684523,-52.992312270230855,-34.133993188002165,1.2239351725557215
LC100245,span,section,vehicle,7,Mid Body 4,153.97,163.97,20381,0.2693507456190001,-0.02496514779999956,208.106578457252,-23.012802166731536,-1563.6385674289834,0.24422832460618554
LC100245,span,section,vehicle,8,Aft Body 1,163.97,173.97,6734,-0.040836827643999984,-0.0976577870000046,-53.598641545,-15.265905554090192,1024.215611688067,-2.470753318122193
LC100245,span,section,vehicle,9,Aft Body 2,173.97,183.97,3883,10.4144736737,0.3932804461000039,-45.92280784300001,45.59300603390494,1379.1769970780217,10.17564583661522
LC100245,span,section,vehicle,10,Aft Body 3,183.97,195.0,7209,-8.52019703792,4.244927442299998,-64.3482721505,194.92718421752443,2495.7986943229844,149.38777480664154
LC100245,span,component subtotal,vehicle,,vehicle total,,,101769,1.2539966713306043,0.0032069284999511893,294.425976755052,116.01414957133638,-1108.2292762972284,287.3464177679706
LC100245,span,point masses,,,applied separately,,,19,-36.12879425562,0.0,-8537.4675,-1150845.319370565,-1224299.5486938283,4870.139038723419
LC100245,span,TOTAL,,,sections + point masses,,,101769,-34.8747975842894,0.0032069284999511893,-8243.041523244949,-1150729.3052209937,-1225407.7779701254,5157.485456491389
